Date,Price,Open,High,Low,Change %
1-Oct-10,"5,592.90","5,582.50","5,617.50","5,559.80",0.80%
4-Oct-10,"5,555.97","5,607.30","5,607.30","5,549.00",-0.66%
5-Oct-10,"5,635.76","5,564.50","5,647.30","5,548.50",1.44%
6-Oct-10,"5,681.39","5,659.20","5,694.30","5,653.50",0.81%
7-Oct-10,"5,662.13","5,687.60","5,708.50","5,648.80",-0.34%
8-Oct-10,"5,657.61","5,653.50","5,663.80","5,604.50",-0.08%
11-Oct-10,"5,672.40","5,670.70","5,685.80","5,654.80",0.26%
12-Oct-10,"5,661.59","5,643.50","5,677.80","5,595.80",-0.19%
13-Oct-10,"5,747.35","5,691.60","5,761.30","5,686.30",1.51%
14-Oct-10,"5,727.21","5,767.80","5,770.80","5,711.30",-0.35%
15-Oct-10,"5,703.37","5,750.70","5,750.70","5,663.50",-0.42%
18-Oct-10,"5,742.52","5,681.60","5,750.50","5,668.50",0.69%
19-Oct-10,"5,703.89","5,738.50","5,762.50","5,687.50",-0.67%
20-Oct-10,"5,728.93","5,684.40","5,730.50","5,678.50",0.44%
21-Oct-10,"5,757.86","5,709.50","5,787.50","5,696.80",0.50%
22-Oct-10,"5,741.37","5,747.80","5,756.00","5,721.80",-0.29%
25-Oct-10,"5,751.98","5,780.10","5,791.80","5,750.30",0.18%
26-Oct-10,"5,707.30","5,735.80","5,746.30","5,674.80",-0.78%
27-Oct-10,"5,646.02","5,674.80","5,690.50","5,629.30",-1.07%
28-Oct-10,"5,677.89","5,684.80","5,713.00","5,653.30",0.56%
29-Oct-10,"5,675.16","5,662.30","5,700.00","5,645.80",-0.05%
1-Nov-10,"5,694.62","5,711.70","5,734.80","5,665.80",0.34%
2-Nov-10,"5,757.43","5,688.90","5,773.30","5,685.00",1.10%
3-Nov-10,"5,748.97","5,762.20","5,773.30","5,728.30",-0.15%
4-Nov-10,"5,862.79","5,798.20","5,876.30","5,797.40",1.98%
5-Nov-10,"5,875.35","5,881.00","5,896.50","5,831.80",0.21%
8-Nov-10,"5,849.96","5,871.50","5,882.30","5,839.50",-0.43%
9-Nov-10,"5,875.19","5,841.20","5,901.80","5,841.20",0.43%
10-Nov-10,"5,816.94","5,858.40","5,868.00","5,794.00",-0.99%
11-Nov-10,"5,815.23","5,838.80","5,841.80","5,791.30",-0.03%
12-Nov-10,"5,796.87","5,742.50","5,831.30","5,711.00",-0.32%
15-Nov-10,"5,820.41","5,780.10","5,834.50","5,753.50",0.41%
16-Nov-10,"5,690.80","5,785.70","5,789.30","5,680.80",-2.23%
17-Nov-10,"5,692.56","5,654.80","5,705.30","5,653.80",0.03%
18-Nov-10,"5,768.71","5,730.80","5,785.00","5,718.30",1.34%
19-Nov-10,"5,732.83","5,777.70","5,777.70","5,682.80",-0.62%
22-Nov-10,"5,680.83","5,782.50","5,784.50","5,666.80",-0.91%
23-Nov-10,"5,581.28","5,640.60","5,663.30","5,581.28",-1.75%
24-Nov-10,"5,657.10","5,608.30","5,665.80","5,573.30",1.36%
25-Nov-10,"5,698.93","5,666.30","5,709.50","5,653.50",0.74%
26-Nov-10,"5,668.70","5,663.20","5,696.50","5,597.50",-0.53%
29-Nov-10,"5,569.73","5,698.10","5,724.50","5,562.00",-1.75%
30-Nov-10,"5,528.27","5,572.70","5,598.00","5,518.30",-0.74%
1-Dec-10,"5,642.50","5,569.80","5,657.80","5,559.50",2.07%
2-Dec-10,"5,767.56","5,678.80","5,774.30","5,649.80",2.22%
3-Dec-10,"5,756.66","5,764.60","5,785.80","5,719.50",-0.19%
6-Dec-10,"5,770.28","5,761.60","5,785.80","5,727.80",0.24%
